refname	sys_name	lp	score
refA	NLLB_MBR_BLEU	en-de	1.3720794
refA	synthetic_ref	en-de	1.5553422
refA	ONLINE-Y	en-de	1.5025967
refA	ONLINE-G	en-de	1.4710498
refA	ONLINE-A	en-de	1.4960171
refA	GPT4-5shot	en-de	1.5136108
refA	ZengHuiMT	en-de	1.437711
refA	NLLB_Greedy	en-de	1.3604741
refA	AIRC	en-de	1.2988392
refA	ONLINE-W	en-de	1.5192593
refA	ONLINE-M	en-de	1.4623612
refA	refA	en-de	1.5919888
refA	ONLINE-B	en-de	1.5148764
refA	Lan-BridgeMT	en-de	1.4406747
synthetic_ref	NLLB_MBR_BLEU	en-de	1.3750131
synthetic_ref	synthetic_ref	en-de	1.5927228
synthetic_ref	ONLINE-Y	en-de	1.5053599
synthetic_ref	ONLINE-G	en-de	1.4746457
synthetic_ref	ONLINE-A	en-de	1.4996796
synthetic_ref	GPT4-5shot	en-de	1.5210332
synthetic_ref	ZengHuiMT	en-de	1.4351
synthetic_ref	NLLB_Greedy	en-de	1.3676925
synthetic_ref	AIRC	en-de	1.3031964
synthetic_ref	ONLINE-W	en-de	1.5176581
synthetic_ref	ONLINE-M	en-de	1.4643159
synthetic_ref	refA	en-de	1.5578327
synthetic_ref	ONLINE-B	en-de	1.519314
synthetic_ref	Lan-BridgeMT	en-de	1.4446219
