refname	sys_name	lp	score
refB	NLLB_MBR_BLEU	he-en	1.4389831
refB	ONLINE-Y	he-en	1.4601318
refB	ONLINE-G	he-en	1.4855095
refB	Samsung_Research_Philippines	he-en	1.4437245
refB	ONLINE-A	he-en	1.507782
refB	GPT4-5shot	he-en	1.5201159
refB	GTCOM_Peter	he-en	1.4929041
refB	ZengHuiMT	he-en	1.473573
refB	UvA-LTL	he-en	1.4775484
refB	NLLB_Greedy	he-en	1.440944
refB	refB	he-en	1.6378372
refB	refA	he-en	1.5122727
refB	ONLINE-B	he-en	1.5051211
refB	Lan-BridgeMT	he-en	1.4338117
refA	NLLB_MBR_BLEU	he-en	1.4534326
refA	ONLINE-Y	he-en	1.4876165
refA	ONLINE-G	he-en	1.5073825
refA	Samsung_Research_Philippines	he-en	1.4579399
refA	ONLINE-A	he-en	1.5316207
refA	GPT4-5shot	he-en	1.5276498
refA	GTCOM_Peter	he-en	1.5235149
refA	ZengHuiMT	he-en	1.5052993
refA	UvA-LTL	he-en	1.4988906
refA	NLLB_Greedy	he-en	1.4567531
refA	refB	he-en	1.5241116
refA	refA	he-en	1.6339756
refA	ONLINE-B	he-en	1.5643235
refA	Lan-BridgeMT	he-en	1.4479172
