refname	sys_name	lp	score
synthetic_ref	NLLB_MBR_BLEU	zh-en	1.3925158
synthetic_ref	HW-TSC	zh-en	1.4867473
synthetic_ref	synthetic_ref	zh-en	1.6211566
synthetic_ref	ONLINE-Y	zh-en	1.4652777
synthetic_ref	ONLINE-G	zh-en	1.4631901
synthetic_ref	ONLINE-A	zh-en	1.4411181
synthetic_ref	GPT4-5shot	zh-en	1.5133433
synthetic_ref	ZengHuiMT	zh-en	1.4360074
synthetic_ref	NLLB_Greedy	zh-en	1.3947138
synthetic_ref	IOL_Research	zh-en	1.4134997
synthetic_ref	ONLINE-W	zh-en	1.4198742
synthetic_ref	ONLINE-M	zh-en	1.3801452
synthetic_ref	refA	zh-en	1.5020574
synthetic_ref	Yishu	zh-en	1.481888
synthetic_ref	ONLINE-B	zh-en	1.4811372
synthetic_ref	ANVITA	zh-en	1.399625
synthetic_ref	Lan-BridgeMT	zh-en	1.4999825
refA	NLLB_MBR_BLEU	zh-en	1.3715044
refA	HW-TSC	zh-en	1.4723983
refA	synthetic_ref	zh-en	1.525325
refA	ONLINE-Y	zh-en	1.4405748
refA	ONLINE-G	zh-en	1.4396938
refA	ONLINE-A	zh-en	1.4173896
refA	GPT4-5shot	zh-en	1.465455
refA	ZengHuiMT	zh-en	1.4135724
refA	NLLB_Greedy	zh-en	1.3701777
refA	IOL_Research	zh-en	1.3883239
refA	ONLINE-W	zh-en	1.3970528
refA	ONLINE-M	zh-en	1.3592067
refA	refA	zh-en	1.6100168
refA	Yishu	zh-en	1.4706247
refA	ONLINE-B	zh-en	1.4706233
refA	ANVITA	zh-en	1.3687565
refA	Lan-BridgeMT	zh-en	1.4527724
