refname	sys_name	lp	score
refA	NLLB_MBR_BLEU	en-de	0.7761851
refA	synthetic_ref	en-de	0.90328896
refA	ONLINE-Y	en-de	0.9055745
refA	ONLINE-G	en-de	0.88542867
refA	ONLINE-A	en-de	0.89721066
refA	GPT4-5shot	en-de	0.9123156
refA	ZengHuiMT	en-de	0.8430748
refA	NLLB_Greedy	en-de	0.76120704
refA	AIRC	en-de	0.7202917
refA	ONLINE-W	en-de	0.9117618
refA	ONLINE-M	en-de	0.8774249
refA	refA	en-de	0.9109715
refA	ONLINE-B	en-de	0.9098792
refA	Lan-BridgeMT	en-de	0.86763984
synthetic_ref	NLLB_MBR_BLEU	en-de	0.7761851
synthetic_ref	synthetic_ref	en-de	0.90328896
synthetic_ref	ONLINE-Y	en-de	0.9055745
synthetic_ref	ONLINE-G	en-de	0.88542867
synthetic_ref	ONLINE-A	en-de	0.89721066
synthetic_ref	GPT4-5shot	en-de	0.9123156
synthetic_ref	ZengHuiMT	en-de	0.8430748
synthetic_ref	NLLB_Greedy	en-de	0.76120704
synthetic_ref	AIRC	en-de	0.7202917
synthetic_ref	ONLINE-W	en-de	0.9117618
synthetic_ref	ONLINE-M	en-de	0.8774249
synthetic_ref	refA	en-de	0.9109715
synthetic_ref	ONLINE-B	en-de	0.9098792
synthetic_ref	Lan-BridgeMT	en-de	0.86763984
