refname	sys_name	lp	score
refB	NLLB_MBR_BLEU	he-en	0.88523626
refB	ONLINE-Y	he-en	0.895611
refB	ONLINE-G	he-en	0.9068079
refB	Samsung_Research_Philippines	he-en	0.85586303
refB	ONLINE-A	he-en	0.92028844
refB	GPT4-5shot	he-en	0.9267711
refB	GTCOM_Peter	he-en	0.91423124
refB	ZengHuiMT	he-en	0.8953901
refB	UvA-LTL	he-en	0.9005987
refB	NLLB_Greedy	he-en	0.8863901
refB	refB	he-en	0.9200561
refB	refA	he-en	0.9189545
refB	ONLINE-B	he-en	0.9211025
refB	Lan-BridgeMT	he-en	0.88665354
refA	NLLB_MBR_BLEU	he-en	0.88523626
refA	ONLINE-Y	he-en	0.895611
refA	ONLINE-G	he-en	0.9068079
refA	Samsung_Research_Philippines	he-en	0.85586303
refA	ONLINE-A	he-en	0.92028844
refA	GPT4-5shot	he-en	0.9267711
refA	GTCOM_Peter	he-en	0.91423124
refA	ZengHuiMT	he-en	0.8953901
refA	UvA-LTL	he-en	0.9005987
refA	NLLB_Greedy	he-en	0.8863901
refA	refB	he-en	0.9200561
refA	refA	he-en	0.9189545
refA	ONLINE-B	he-en	0.9211025
refA	Lan-BridgeMT	he-en	0.88665354
