refname	sys_name	lp	score
synthetic_ref	NLLB_MBR_BLEU	zh-en	0.8458389
synthetic_ref	HW-TSC	zh-en	0.8869999
synthetic_ref	synthetic_ref	zh-en	0.8687322
synthetic_ref	ONLINE-Y	zh-en	0.88608885
synthetic_ref	ONLINE-G	zh-en	0.8799972
synthetic_ref	ONLINE-A	zh-en	0.87187386
synthetic_ref	GPT4-5shot	zh-en	0.90816087
synthetic_ref	ZengHuiMT	zh-en	0.85834473
synthetic_ref	NLLB_Greedy	zh-en	0.8465698
synthetic_ref	IOL_Research	zh-en	0.86435795
synthetic_ref	ONLINE-W	zh-en	0.86899537
synthetic_ref	ONLINE-M	zh-en	0.84300524
synthetic_ref	refA	zh-en	0.8385889
synthetic_ref	Yishu	zh-en	0.88280857
synthetic_ref	ONLINE-B	zh-en	0.8824732
synthetic_ref	ANVITA	zh-en	0.8412221
synthetic_ref	Lan-BridgeMT	zh-en	0.90246254
refA	NLLB_MBR_BLEU	zh-en	0.8458389
refA	HW-TSC	zh-en	0.8869999
refA	synthetic_ref	zh-en	0.8687322
refA	ONLINE-Y	zh-en	0.88608885
refA	ONLINE-G	zh-en	0.8799972
refA	ONLINE-A	zh-en	0.87187386
refA	GPT4-5shot	zh-en	0.90816087
refA	ZengHuiMT	zh-en	0.85834473
refA	NLLB_Greedy	zh-en	0.8465698
refA	IOL_Research	zh-en	0.86435795
refA	ONLINE-W	zh-en	0.86899537
refA	ONLINE-M	zh-en	0.84300524
refA	refA	zh-en	0.8385889
refA	Yishu	zh-en	0.88280857
refA	ONLINE-B	zh-en	0.8824732
refA	ANVITA	zh-en	0.8412221
refA	Lan-BridgeMT	zh-en	0.90246254
