refname	sys_name	lp	score
refA	NLLB_MBR_BLEU	en-de	1.2746583
refA	synthetic_ref	en-de	1.5140328
refA	ONLINE-Y	en-de	1.4532366
refA	ONLINE-G	en-de	1.4211572
refA	ONLINE-A	en-de	1.443334
refA	GPT4-5shot	en-de	1.4765575
refA	ZengHuiMT	en-de	1.3611948
refA	NLLB_Greedy	en-de	1.2580575
refA	AIRC	en-de	1.1360507
refA	ONLINE-W	en-de	1.4813132
refA	ONLINE-M	en-de	1.4045906
refA	refA	en-de	1.5578841
refA	ONLINE-B	en-de	1.468126
refA	Lan-BridgeMT	en-de	1.378748
synthetic_ref	NLLB_MBR_BLEU	en-de	1.2870927
synthetic_ref	synthetic_ref	en-de	1.5575751
synthetic_ref	ONLINE-Y	en-de	1.4569378
synthetic_ref	ONLINE-G	en-de	1.4257851
synthetic_ref	ONLINE-A	en-de	1.4475332
synthetic_ref	GPT4-5shot	en-de	1.4841598
synthetic_ref	ZengHuiMT	en-de	1.3605639
synthetic_ref	NLLB_Greedy	en-de	1.2715633
synthetic_ref	AIRC	en-de	1.1461071
synthetic_ref	ONLINE-W	en-de	1.4804542
synthetic_ref	ONLINE-M	en-de	1.4082996
synthetic_ref	refA	en-de	1.5248802
synthetic_ref	ONLINE-B	en-de	1.473647
synthetic_ref	Lan-BridgeMT	en-de	1.3824507
