refname	sys_name	lp	score
refB	NLLB_MBR_BLEU	he-en	1.3852938
refB	ONLINE-Y	he-en	1.4009006
refB	ONLINE-G	he-en	1.4332167
refB	Samsung_Research_Philippines	he-en	1.3836218
refB	ONLINE-A	he-en	1.4582827
refB	GPT4-5shot	he-en	1.4754387
refB	GTCOM_Peter	he-en	1.4437273
refB	ZengHuiMT	he-en	1.412489
refB	UvA-LTL	he-en	1.4263529
refB	NLLB_Greedy	he-en	1.3865408
refB	refB	he-en	1.5794529
refB	refA	he-en	1.4649572
refB	ONLINE-B	he-en	1.4551388
refB	Lan-BridgeMT	he-en	1.3818791
refA	NLLB_MBR_BLEU	he-en	1.4009867
refA	ONLINE-Y	he-en	1.4274703
refA	ONLINE-G	he-en	1.4571604
refA	Samsung_Research_Philippines	he-en	1.4061278
refA	ONLINE-A	he-en	1.4819794
refA	GPT4-5shot	he-en	1.4846373
refA	GTCOM_Peter	he-en	1.4729234
refA	ZengHuiMT	he-en	1.442425
refA	UvA-LTL	he-en	1.4481703
refA	NLLB_Greedy	he-en	1.4035562
refA	refB	he-en	1.4836615
refA	refA	he-en	1.5763742
refA	ONLINE-B	he-en	1.5101447
refA	Lan-BridgeMT	he-en	1.396995
