refname	sys_name	lp	score
synthetic_ref	NLLB_MBR_BLEU	zh-en	1.333122
synthetic_ref	HW-TSC	zh-en	1.4367639
synthetic_ref	synthetic_ref	zh-en	1.565329
synthetic_ref	ONLINE-Y	zh-en	1.4051377
synthetic_ref	ONLINE-G	zh-en	1.4031508
synthetic_ref	ONLINE-A	zh-en	1.3881813
synthetic_ref	GPT4-5shot	zh-en	1.4777583
synthetic_ref	ZengHuiMT	zh-en	1.3647587
synthetic_ref	NLLB_Greedy	zh-en	1.3345248
synthetic_ref	IOL_Research	zh-en	1.3681912
synthetic_ref	ONLINE-W	zh-en	1.3724867
synthetic_ref	ONLINE-M	zh-en	1.3239783
synthetic_ref	refA	zh-en	1.4452695
synthetic_ref	Yishu	zh-en	1.4300892
synthetic_ref	ONLINE-B	zh-en	1.4295604
synthetic_ref	ANVITA	zh-en	1.3400496
synthetic_ref	Lan-BridgeMT	zh-en	1.4641925
refA	NLLB_MBR_BLEU	zh-en	1.3272632
refA	HW-TSC	zh-en	1.4368714
refA	synthetic_ref	zh-en	1.4868425
refA	ONLINE-Y	zh-en	1.3965949
refA	ONLINE-G	zh-en	1.3935317
refA	ONLINE-A	zh-en	1.3771293
refA	GPT4-5shot	zh-en	1.4420304
refA	ZengHuiMT	zh-en	1.3546009
refA	NLLB_Greedy	zh-en	1.3294756
refA	IOL_Research	zh-en	1.3580164
refA	ONLINE-W	zh-en	1.3622869
refA	ONLINE-M	zh-en	1.3177829
refA	refA	zh-en	1.5561682
refA	Yishu	zh-en	1.432704
refA	ONLINE-B	zh-en	1.4328319
refA	ANVITA	zh-en	1.3297216
refA	Lan-BridgeMT	zh-en	1.430306
