refname	sys_name	lp	score
refA	NLLB_MBR_BLEU	en-de	0.90874773
refA	synthetic_ref	en-de	1.1170058
refA	ONLINE-Y	en-de	1.114776
refA	ONLINE-G	en-de	1.083853
refA	ONLINE-A	en-de	1.1031979
refA	GPT4-5shot	en-de	1.1273084
refA	ZengHuiMT	en-de	1.0245254
refA	NLLB_Greedy	en-de	0.88311964
refA	AIRC	en-de	0.82063246
refA	ONLINE-W	en-de	1.1267445
refA	ONLINE-M	en-de	1.0741733
refA	refA	en-de	1.1321838
refA	ONLINE-B	en-de	1.1230474
refA	Lan-BridgeMT	en-de	1.055142
synthetic_ref	NLLB_MBR_BLEU	en-de	0.90874773
synthetic_ref	synthetic_ref	en-de	1.1170058
synthetic_ref	ONLINE-Y	en-de	1.114776
synthetic_ref	ONLINE-G	en-de	1.083853
synthetic_ref	ONLINE-A	en-de	1.1031979
synthetic_ref	GPT4-5shot	en-de	1.1273084
synthetic_ref	ZengHuiMT	en-de	1.0245254
synthetic_ref	NLLB_Greedy	en-de	0.88311964
synthetic_ref	AIRC	en-de	0.82063246
synthetic_ref	ONLINE-W	en-de	1.1267445
synthetic_ref	ONLINE-M	en-de	1.0741733
synthetic_ref	refA	en-de	1.1321838
synthetic_ref	ONLINE-B	en-de	1.1230474
synthetic_ref	Lan-BridgeMT	en-de	1.055142
