refname	sys_name	lp	score
refB	NLLB_MBR_BLEU	he-en	1.0797216
refB	ONLINE-Y	he-en	1.0948999
refB	ONLINE-G	he-en	1.1104972
refB	Samsung_Research_Philippines	he-en	1.0298039
refB	ONLINE-A	he-en	1.1287074
refB	GPT4-5shot	he-en	1.1389077
refB	GTCOM_Peter	he-en	1.1202332
refB	ZengHuiMT	he-en	1.0931404
refB	UvA-LTL	he-en	1.1045458
refB	NLLB_Greedy	he-en	1.0817931
refB	refB	he-en	1.134798
refB	refA	he-en	1.1303658
refB	ONLINE-B	he-en	1.1285366
refB	Lan-BridgeMT	he-en	1.0826359
refA	NLLB_MBR_BLEU	he-en	1.0797216
refA	ONLINE-Y	he-en	1.0948999
refA	ONLINE-G	he-en	1.1104972
refA	Samsung_Research_Philippines	he-en	1.0298039
refA	ONLINE-A	he-en	1.1287074
refA	GPT4-5shot	he-en	1.1389077
refA	GTCOM_Peter	he-en	1.1202332
refA	ZengHuiMT	he-en	1.0931404
refA	UvA-LTL	he-en	1.1045458
refA	NLLB_Greedy	he-en	1.0817931
refA	refB	he-en	1.134798
refA	refA	he-en	1.1303658
refA	ONLINE-B	he-en	1.1285366
refA	Lan-BridgeMT	he-en	1.0826359
