refname	sys_name	lp	score
synthetic_ref	NLLB_MBR_BLEU	zh-en	1.0370811
synthetic_ref	HW-TSC	zh-en	1.088972
synthetic_ref	synthetic_ref	zh-en	1.0739443
synthetic_ref	ONLINE-Y	zh-en	1.0841097
synthetic_ref	ONLINE-G	zh-en	1.074672
synthetic_ref	ONLINE-A	zh-en	1.0641402
synthetic_ref	GPT4-5shot	zh-en	1.1233822
synthetic_ref	ZengHuiMT	zh-en	1.0433708
synthetic_ref	NLLB_Greedy	zh-en	1.0409753
synthetic_ref	IOL_Research	zh-en	1.053814
synthetic_ref	ONLINE-W	zh-en	1.0602106
synthetic_ref	ONLINE-M	zh-en	1.0229425
synthetic_ref	refA	zh-en	1.0356457
synthetic_ref	Yishu	zh-en	1.0820897
synthetic_ref	ONLINE-B	zh-en	1.0815848
synthetic_ref	ANVITA	zh-en	1.0340511
synthetic_ref	Lan-BridgeMT	zh-en	1.1144153
refA	NLLB_MBR_BLEU	zh-en	1.0370811
refA	HW-TSC	zh-en	1.088972
refA	synthetic_ref	zh-en	1.0739443
refA	ONLINE-Y	zh-en	1.0841097
refA	ONLINE-G	zh-en	1.074672
refA	ONLINE-A	zh-en	1.0641402
refA	GPT4-5shot	zh-en	1.1233822
refA	ZengHuiMT	zh-en	1.0433708
refA	NLLB_Greedy	zh-en	1.0409753
refA	IOL_Research	zh-en	1.053814
refA	ONLINE-W	zh-en	1.0602106
refA	ONLINE-M	zh-en	1.0229425
refA	refA	zh-en	1.0356457
refA	Yishu	zh-en	1.0820897
refA	ONLINE-B	zh-en	1.0815848
refA	ANVITA	zh-en	1.0340511
refA	Lan-BridgeMT	zh-en	1.1144153
