refname	sys_name	lp	score
refA	NLLB_MBR_BLEU	en-de	1.3907936
refA	synthetic_ref	en-de	1.6384819
refA	ONLINE-Y	en-de	1.5612986
refA	ONLINE-G	en-de	1.527909
refA	ONLINE-A	en-de	1.5516243
refA	GPT4-5shot	en-de	1.5832306
refA	ZengHuiMT	en-de	1.4687258
refA	NLLB_Greedy	en-de	1.3766958
refA	AIRC	en-de	1.2574568
refA	ONLINE-W	en-de	1.5898497
refA	ONLINE-M	en-de	1.5110832
refA	refA	en-de	1.6880386
refA	ONLINE-B	en-de	1.5762848
refA	Lan-BridgeMT	en-de	1.4844565
synthetic_ref	NLLB_MBR_BLEU	en-de	1.4040979
synthetic_ref	synthetic_ref	en-de	1.6880399
synthetic_ref	ONLINE-Y	en-de	1.5663223
synthetic_ref	ONLINE-G	en-de	1.5341442
synthetic_ref	ONLINE-A	en-de	1.5573727
synthetic_ref	GPT4-5shot	en-de	1.5933546
synthetic_ref	ZengHuiMT	en-de	1.4700534
synthetic_ref	NLLB_Greedy	en-de	1.3915609
synthetic_ref	AIRC	en-de	1.2693073
synthetic_ref	ONLINE-W	en-de	1.5900317
synthetic_ref	ONLINE-M	en-de	1.5159732
synthetic_ref	refA	en-de	1.6470981
synthetic_ref	ONLINE-B	en-de	1.5835253
synthetic_ref	Lan-BridgeMT	en-de	1.4907987
