refname	sys_name	lp	score
refB	NLLB_MBR_BLEU	he-en	1.495135
refB	ONLINE-Y	he-en	1.5122905
refB	ONLINE-G	he-en	1.5423378
refB	Samsung_Research_Philippines	he-en	1.490807
refB	ONLINE-A	he-en	1.5676247
refB	GPT4-5shot	he-en	1.5865752
refB	GTCOM_Peter	he-en	1.552534
refB	ZengHuiMT	he-en	1.5230876
refB	UvA-LTL	he-en	1.532628
refB	NLLB_Greedy	he-en	1.4950517
refB	refB	he-en	1.7125974
refB	refA	he-en	1.5744468
refB	ONLINE-B	he-en	1.566812
refB	Lan-BridgeMT	he-en	1.4893641
refA	NLLB_MBR_BLEU	he-en	1.512695
refA	ONLINE-Y	he-en	1.5430051
refA	ONLINE-G	he-en	1.5692229
refA	Samsung_Research_Philippines	he-en	1.5147302
refA	ONLINE-A	he-en	1.5953138
refA	GPT4-5shot	he-en	1.5962865
refA	GTCOM_Peter	he-en	1.5863702
refA	ZengHuiMT	he-en	1.5587982
refA	UvA-LTL	he-en	1.5574557
refA	NLLB_Greedy	he-en	1.5140717
refA	refB	he-en	1.5910745
refA	refA	he-en	1.7098587
refA	ONLINE-B	he-en	1.6330489
refA	Lan-BridgeMT	he-en	1.5065637
