refname	sys_name	lp	score
synthetic_ref	NLLB_MBR_BLEU	zh-en	1.4379033
synthetic_ref	HW-TSC	zh-en	1.5469699
synthetic_ref	synthetic_ref	zh-en	1.7000244
synthetic_ref	ONLINE-Y	zh-en	1.5137902
synthetic_ref	ONLINE-G	zh-en	1.5136424
synthetic_ref	ONLINE-A	zh-en	1.4990007
synthetic_ref	GPT4-5shot	zh-en	1.5831165
synthetic_ref	ZengHuiMT	zh-en	1.477945
synthetic_ref	NLLB_Greedy	zh-en	1.4372199
synthetic_ref	IOL_Research	zh-en	1.4780835
synthetic_ref	ONLINE-W	zh-en	1.4819075
synthetic_ref	ONLINE-M	zh-en	1.4348377
synthetic_ref	refA	zh-en	1.5656135
synthetic_ref	Yishu	zh-en	1.5409185
synthetic_ref	ONLINE-B	zh-en	1.5406075
synthetic_ref	ANVITA	zh-en	1.4447662
synthetic_ref	Lan-BridgeMT	zh-en	1.5693413
refA	NLLB_MBR_BLEU	zh-en	1.4250335
refA	HW-TSC	zh-en	1.5387852
refA	synthetic_ref	zh-en	1.6015499
refA	ONLINE-Y	zh-en	1.496497
refA	ONLINE-G	zh-en	1.4962357
refA	ONLINE-A	zh-en	1.480368
refA	GPT4-5shot	zh-en	1.5362883
refA	ZengHuiMT	zh-en	1.460429
refA	NLLB_Greedy	zh-en	1.4243525
refA	IOL_Research	zh-en	1.4605931
refA	ONLINE-W	zh-en	1.4644483
refA	ONLINE-M	zh-en	1.4222088
refA	refA	zh-en	1.6927481
refA	Yishu	zh-en	1.5354009
refA	ONLINE-B	zh-en	1.5356463
refA	ANVITA	zh-en	1.4252814
refA	Lan-BridgeMT	zh-en	1.5249275
